iter	MultiClass
0	1.174052813
1	1.030508013
2	0.9265809316
3	0.8471693241
4	0.7836544737
5	0.7322919752
6	0.6896602542
7	0.6542048527
8	0.6246839122
9	0.5998032329
10	0.5790402576
11	0.5606538876
12	0.5449211289
13	0.5315532322
14	0.5194860488
15	0.5097105916
16	0.5008573957
17	0.4928348197
18	0.486127125
19	0.4803768442
20	0.4752317714
21	0.4703062887
22	0.4659359837
23	0.4622282256
24	0.4590168022
25	0.4563405403
26	0.4539039381
27	0.451831229
28	0.4492297208
29	0.4470185764
30	0.445048431
31	0.4434832422
32	0.4423677716
33	0.4408825276
34	0.438997171
35	0.4378242123
36	0.4364256456
37	0.4355713635
38	0.4343035968
39	0.4333986531
40	0.4324848207
41	0.4318016472
42	0.4312570441
43	0.430647768
44	0.4301641111
45	0.4295570583
46	0.4287120279
47	0.4283035773
48	0.4276960607
49	0.4272717034
50	0.4266067466
51	0.4260669726
52	0.4253064693
53	0.4250102783
54	0.42424006
55	0.4236051073
56	0.422750295
57	0.4222061244
58	0.4218516858
59	0.4210437058
60	0.4207408404
61	0.4203515828
62	0.4196452782
63	0.419247275
64	0.4189571099
65	0.4185227491
66	0.4177239578
67	0.4172225222
68	0.4168734867
69	0.4165572422
70	0.4162937691
71	0.4157030739
72	0.4152191774
73	0.4145623976
74	0.4139968394
75	0.4136227261
76	0.4133662049
77	0.4127247465
78	0.4121338524
79	0.4119013368
80	0.4116004109
81	0.4113685356
82	0.4109550228
83	0.4106784523
84	0.4103591803
85	0.4098616502
86	0.4094223042
87	0.4089814852
88	0.4085991171
89	0.4080632695
90	0.407601724
91	0.4073041397
92	0.4070207818
93	0.4065012627
94	0.4063050956
95	0.4060830881
96	0.4056084721
97	0.4053987846
98	0.4050650055
99	0.404815951
100	0.4043894831
101	0.4042380569
102	0.4039551398
103	0.4036944077
104	0.4033634634
105	0.4029990177
106	0.4024496027
107	0.4021445822
108	0.4017712605
109	0.401559373
110	0.4011742784
111	0.4008747232
112	0.4003952615
113	0.3997212805
114	0.3994719863
115	0.3993170741
116	0.3985192438
117	0.3980349242
118	0.3975285096
119	0.3971611509
120	0.3967800038
121	0.3964954271
122	0.3962769342
123	0.3960821354
124	0.3952674311
125	0.3950867706
126	0.3948905888
127	0.394708319
128	0.3945803214
129	0.3944392703
130	0.3941719844
131	0.3938570283
132	0.3933308415
133	0.3930969582
134	0.3927241177
135	0.3925308887
136	0.3920246038
137	0.3917631382
138	0.3913868879
139	0.3911905031
140	0.3907761196
141	0.3903261838
142	0.3899500065
143	0.3896509223
144	0.3890662975
145	0.3886172246
146	0.3883728571
147	0.3881030454
148	0.3876413539
149	0.3873221492
150	0.3871200792
151	0.3865335094
152	0.3862324365
153	0.3857911295
154	0.3855589382
155	0.385307769
156	0.3850987559
157	0.3848617485
158	0.3847340278
159	0.3844362271
160	0.3840163219
161	0.383461369
162	0.3831158202
163	0.3825872319
164	0.3822512515
165	0.3819398736
166	0.3817343509
167	0.3814614648
168	0.3811753044
169	0.3806781099
170	0.3801001117
171	0.3799054806
172	0.3795199187
173	0.3793795802
174	0.3791389379
175	0.378886151
176	0.378697831
177	0.3785651903
178	0.3782409123
179	0.3779732251
180	0.3778013997
181	0.3773571111
182	0.3769909871
183	0.3766387454
184	0.3764407844
185	0.376156274
186	0.3757616947
187	0.3755888785
188	0.3753817043
189	0.3749467145
190	0.3744692622
191	0.3741893791
192	0.3739098871
193	0.3736292616
194	0.3733512669
195	0.3731302388
196	0.3729464452
197	0.3727934536
198	0.372590189
199	0.3724712044
200	0.3721380421
201	0.3718689045
202	0.3717153157
203	0.3714319017
204	0.371287483
205	0.3711265261
206	0.3710015581
207	0.3707703375
208	0.3706272372
209	0.3704036664
210	0.3701605872
211	0.3698720576
212	0.3696292301
213	0.3693323401
214	0.3692129569
215	0.3690694077
216	0.3688772958
217	0.3685764017
218	0.3683670882
219	0.3681805709
220	0.3679272582
221	0.367678278
222	0.3674735271
223	0.367204116
224	0.3670447114
225	0.366672932
226	0.366329476
227	0.3660115186
228	0.3659129529
229	0.3656058433
230	0.365386669
231	0.3650948235
232	0.3648248061
233	0.3644369315
234	0.3642857053
