iter	Passed	Remaining
0	2594	2591553
1	4321	2156446
2	5938	1973616
3	7712	1920399
4	9040	1799062
5	10137	1679475
6	11188	1587193
7	12289	1523838
8	13354	1470467
9	14430	1428616
10	15476	1391487
11	16566	1363935
12	17592	1335668
13	18550	1306500
14	19562	1284613
15	20516	1261750
16	21500	1243209
17	22516	1228426
18	23487	1212695
19	24469	1198992
20	25478	1187795
21	26462	1176390
22	27425	1164967
23	28367	1153608
24	29319	1143458
25	30298	1135027
26	31245	1126010
27	32172	1116855
28	33139	1109594
29	34120	1103219
30	35096	1097060
31	36038	1090156
32	36973	1083438
33	37906	1076979
34	38905	1072679
35	39867	1067576
36	40799	1061890
37	41781	1057719
38	42768	1053854
39	43699	1048797
40	44631	1043930
41	45600	1040132
42	46508	1035081
43	47461	1031206
44	48437	1027948
45	49390	1024325
46	50382	1021592
47	51320	1017864
48	52294	1014937
49	53279	1012318
50	54250	1009488
51	55220	1006705
52	56159	1003447
53	57089	1000122
54	58067	997712
55	59034	995149
56	59961	992002
57	60890	988947
58	61821	986005
59	62797	983823
60	63738	981153
61	64671	978418
62	65626	976066
63	66632	974501
64	67594	972323
65	68561	970250
66	69517	968055
67	70509	966392
68	71485	964533
69	72427	962248
70	73386	960227
71	74335	958100
72	75303	956245
73	76282	954567
74	77259	952872
75	78234	951167
76	79188	949231
77	80140	947304
78	81075	945198
79	82017	943202
80	82934	940948
81	83878	939024
82	84852	937471
83	85791	935539
84	86757	933923
85	87713	932211
86	88671	930540
87	89604	928626
88	90546	926831
89	91531	925484
90	92494	923929
91	93428	922095
92	94396	920620
93	95371	919214
94	96326	917632
95	97265	915919
96	98250	914645
97	99209	913133
98	100171	911666
99	101117	910057
100	102070	908524
101	103025	907024
102	103990	905626
103	104967	904338
104	105890	902593
105	106879	901420
106	107854	900128
107	108777	898421
108	109714	896839
109	110688	895569
110	111632	894064
111	112602	892774
112	113562	891414
113	114505	889925
114	115454	888494
115	116399	887044
116	117332	885512
117	118283	884122
118	119299	883219
119	120272	882001
120	121215	880563
121	122214	879546
122	123141	878005
123	124078	876554
124	125049	875343
125	126002	874018
126	126969	872793
127	127893	871274
128	128811	869729
129	129738	868249
130	130674	866837
131	131612	865450
132	132560	864134
133	133530	862968
134	134513	861881
135	135423	860334
136	136421	859358
137	137368	858057
138	138340	856916
139	139296	855677
140	140261	854498
141	141226	853325
142	142163	851985
143	143136	850866
144	144154	850013
145	145127	848898
146	146086	847696
147	147029	846410
148	147982	845189
149	148937	843980
150	149887	842743
151	150838	841519
152	151801	840365
153	152776	839278
154	153689	837856
155	154639	836640
156	155572	835337
157	156533	834182
158	157491	833019
159	158476	831999
160	159448	830916
161	160426	829858
162	161395	828759
163	162392	827804
164	163381	826808
165	164324	825583
166	165318	824613
167	166289	823530
168	167299	822637
169	168299	821695
170	169310	820809
171	170270	819676
172	171243	818603
173	172183	817376
174	173149	816275
175	174130	815246
176	175097	814154
177	176048	812989
178	177012	811885
179	178022	810989
180	178950	809727
181	180088	809408
182	181522	810404
183	183135	812166
184	184688	813627
185	186303	815326
186	187773	816361
187	189119	816835
188	190476	817334
189	191869	817969
190	193393	819136
191	194932	820339
192	196413	821274
193	197830	821915
194	199250	822547
195	200729	823401
196	201935	823118
197	202974	822147
198	203971	821012
199	205022	820089
200	206070	819156
201	207078	818063
202	208111	817067
